ATRIBUTO;VALOR;MLA;ID TIENDA
 PERSONAJES;Macqueen;MLA2965;1387
 PERSONAJES;Macqueenazul;MLA2965;1387
 PERSONAJES;Tow mater;MLA2965;1387
 PERSONAJES;Jackson Storm;MLA2965;1387
Acabado;Cremoso;MLA29883;1969
Acabado;Cremoso;MLA29883;1969
Acabado;Cremoso;MLA29883;1969
accesorio;Delfín;MLA32230;2074
accesorio;Estrella;MLA32230;2074
Animal;Surtido;MLA1166;626
Animal;Perro - Rocky;MLA1166;626
Animal;Oso;MLA432889;1370
Animal;Loro;MLA1166;626
Animal;Perro;MLA352340;1338
Animal;Luciernaga;MLA27819;1117
Animal;Hipopotamo;MLA388313;1287
Animal;Dinosaurio;MLA388313;1287
Animal;Perro;MLA388313;1287
Animal;Leon;MLA388313;1287
animales;Perro;MLA27819;1117
animales;Jirafa;MLA27819;1117
aroma;Frutilla;MLA2968;1365
aroma;Frutilla;MLA2968;1365
aroma;Uva;MLA2968;1365
aroma;Uva;MLA2968;1365
Auto;Amarillo;MLA34243;1390
Auto;Verde;MLA34243;1390
Auto;Rojo;MLA34243;1390
Auto;Negro;MLA34243;1390
Auto;Naranja;MLA34243;1390
Auto;Celeste;MLA34243;1390
Auto;Blanco;MLA34243;1390
Auto;Azul;MLA34243;1390
Auto;Camión Granero;MLA34256;1390
Auto;Camión Arenero;MLA34256;1390
Auto;Camión Cementero;MLA34256;1390
Auto;Camión de Combustible;MLA34256;1390
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;1;MLA1161;1299
cantidad de jugadores;1;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;8;MLA1161;1299
cantidad de jugadores;3;MLA1161;1299
cantidad de jugadores;3;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;4;MLA1161;1299
cantidad de jugadores;3;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;6;MLA1161;1299
cantidad de jugadores;6;MLA1161;1299
cantidad de jugadores;6;MLA1161;1299
cantidad de jugadores;4;MLA1161;1299
cantidad de jugadores;4;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
cantidad de jugadores;2;MLA1161;1299
